date,revision,mean_additional,mean_total,n_products,n_countries,weighted_etr,weighted_etr_additional,matched_imports_b,total_imports_b
2025-04-21,rev_12,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-04-22,rev_13,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-04-23,rev_13,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-04-24,rev_13,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-04-25,rev_13,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-04-26,rev_13,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-04-27,rev_13,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-04-28,rev_13,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-04-29,rev_13,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-04-30,rev_13,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-05-01,rev_13,0.11715126028247028,0.12828526512900124,19733,240,0.14820479373988493,0.14600196142566763,2718.124887567,3123.773412637
2025-05-02,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-03,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-04,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-05,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-06,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-07,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-08,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-09,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-10,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-11,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-12,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-13,rev_14,0.13378234425101368,0.14490066399142462,19733,240,0.15774075077318214,0.15554433225679667,2718.124887567,3123.773412637
2025-05-14,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-15,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-16,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-17,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-18,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-19,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-20,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-21,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-22,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-23,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-24,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-25,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-26,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-27,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-28,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-29,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-30,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-05-31,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-06-01,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-06-02,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-06-03,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
2025-06-04,rev_15,0.13378234425101368,0.1449163490975446,19733,240,0.15774716457101398,0.15554433225679667,2718.124887567,3123.773412637
