hts10,cty_code,usmca_share
0301930210,2010,0
0301930290,1220,0
0301930290,2010,0
0301940100,1220,0
0301940100,2010,0
0301950000,1220,0
0301950000,2010,0
0301990310,1220,0
0301990310,2010,0
0301990315,1220,0
0301990315,2010,0
0301990390,1220,0
0301990390,2010,0
0302110010,1220,0
0302110010,2010,0
0302110090,1220,0
0302110090,2010,0
0302130013,1220,0
0302130013,2010,0
0302130014,1220,0
0302130014,2010,0
0302130022,1220,0
0302130022,2010,0
0302130032,1220,0
0302130032,2010,0
0302130042,1220,0
0302130042,2010,0
0302130053,1220,0
0302130053,2010,0
0302130054,1220,0
0302130054,2010,0
0302130062,1220,0
0302130062,2010,0
0302140003,1220,0
0302140003,2010,0
0302140004,1220,0
0302140004,2010,0
0302140062,1220,0
0302140062,2010,0
0302190000,1220,0
0302190000,2010,0
0302210010,1220,0
0302210010,2010,0
0302210020,1220,0
0302210020,2010,0
0302210090,1220,0
0302210090,2010,0
0302220000,1220,0
0302220000,2010,0
0302230000,1220,0
0302230000,2010,0
0302240000,1220,0
0302240000,2010,0
0302290110,1220,0
0302290110,2010,0
0302290190,1220,0
0302290190,2010,0
0302310000,1220,0
0302310000,2010,0
0302320000,1220,0
0302320000,2010,0
0302330000,1220,0
0302330000,2010,0
0302340000,1220,0
0302340000,2010,0
0302350100,1220,0
0302350100,2010,0
0302360000,1220,0
0302360000,2010,0
0302390200,1220,0
0302390200,2010,0
0302410000,1220,0
0302410000,2010,0
0302420000,1220,0
0302420000,2010,0
0302430000,1220,0
0302430000,2010,0
0302440000,1220,0
0302440000,2010,0
0302451100,1220,0
0302451100,2010,0
0302455000,1220,0
0302455000,2010,0
0302461100,1220,0
0302461100,2010,0
0302465000,1220,0
0302465000,2010,0
0302470010,1220,0
0302470010,2010,0
0302470090,1220,0
0302470090,2010,0
0302490000,1220,0
0302490000,2010,0
0302510010,1220,0
0302510010,2010,0
0302510090,1220,0
0302510090,2010,0
0302520000,1220,0
0302520000,2010,0
0302530000,1220,0
0302530000,2010,0
0302541100,1220,0
0302541100,2010,0
0302545000,1220,0
0302545000,2010,0
0302551100,1220,0
0302551100,2010,0
0302555000,1220,0
0302555000,2010,0
0302561100,1220,0
0302561100,2010,0
0302565000,1220,0
0302565000,2010,0
0302591100,1220,0
0302591100,2010,0
0302595010,1220,0
0302595010,2010,0
0302595090,1220,0
0302595090,2010,0
0302692050,1220,0
0302692050,2010,0
0302711100,1220,0
0302711100,2010,0
0302715000,1220,0
0302715000,2010,0
0302721100,1220,0
0302721100,2010,0
0302725001,1220,0
0302725001,2010,0
0302725004,1220,0
0302725004,2010,0
0302725034,1220,0
0302725034,2010,0
0302731100,1220,0
0302731100,2010,0
0302735000,1220,0
0302735000,2010,0
0302740000,1220,0
0302740000,2010,0
0302791100,1220,0
0302791100,2010,0
0302795025,1220,0
0302795025,2010,0
0302795076,1220,0
0302795076,2010,0
0302810011,1220,0
0302810011,2010,0
0302810091,1220,0
0302810091,2010,0
0302820000,1220,0
0302820000,2010,0
0302830000,1220,0
0302830000,2010,0
0302841100,1220,0
0302841100,2010,0
0302845000,1220,0
0302845000,2010,0
0302851100,1220,0
0302851100,2010,0
0302855000,1220,0
0302855000,2010,0
0302891120,1220,1
0302891120,2010,1
0302891140,1220,0
0302891140,2010,0
0302895007,1220,0
0302895007,2010,0
0302895010,1220,0
0302895010,2010,0
0302895013,1220,0
0302895013,2010,0
0302895025,1220,0
0302895025,2010,0
0302895028,1220,0
0302895028,2010,0
0302895031,1220,0
0302895031,2010,0
0302895034,1220,0
0302895034,2010,0
0302895037,1220,0
0302895037,2010,0
0302895040,1220,0
0302895040,2010,0
0302895049,1220,0
0302895049,2010,0
0302895052,1220,0
0302895052,2010,0
0302895055,1220,0
0302895055,2010,0
0302895058,1220,0
0302895058,2010,0
0302895061,1220,0
0302895061,2010,0
0302895064,1220,0
0302895064,2010,0
0302895067,1220,0
0302895067,2010,0
0302895070,1220,0
0302895070,2010,0
0302895072,1220,0
0302895072,2010,0
0302895077,1220,0
