hts8,list,ch99_code
04062022,4A,9903.88.15
04062024,4A,9903.88.15
04062028,4A,9903.88.15
04062029,4A,9903.88.15
04062031,4A,9903.88.15
04062033,4A,9903.88.15
04062034,4A,9903.88.15
04062036,4A,9903.88.15
04062039,4A,9903.88.15
04062043,4A,9903.88.15
04062044,4A,9903.88.15
04062048,4A,9903.88.15
04062049,4A,9903.88.15
04062051,4A,9903.88.15
04062053,4A,9903.88.15
04062054,4A,9903.88.15
04062055,4A,9903.88.15
04062056,4A,9903.88.15
04062057,4A,9903.88.15
04062061,4A,9903.88.15
04062063,4A,9903.88.15
04062065,4A,9903.88.15
04062067,4A,9903.88.15
04062069,4A,9903.88.15
04062071,4A,9903.88.15
04062073,4A,9903.88.15
04062075,4A,9903.88.15
04062077,4A,9903.88.15
04062079,4A,9903.88.15
04062081,4A,9903.88.15
04062083,4A,9903.88.15
04062085,4A,9903.88.15
04062087,4A,9903.88.15
04062089,4A,9903.88.15
04062091,4A,9903.88.15
04062095,4A,9903.88.15
04063005,4A,9903.88.15
04063012,4A,9903.88.15
04063014,4A,9903.88.15
04063018,4A,9903.88.15
04063022,4A,9903.88.15
04063024,4A,9903.88.15
04063028,4A,9903.88.15
04063032,4A,9903.88.15
04063034,4A,9903.88.15
04063038,4A,9903.88.15
04063042,4A,9903.88.15
04063044,4A,9903.88.15
04063048,4A,9903.88.15
04063049,4A,9903.88.15
04063051,4A,9903.88.15
04063053,4A,9903.88.15
04063055,4A,9903.88.15
04063056,4A,9903.88.15
04063057,4A,9903.88.15
04063061,4A,9903.88.15
04063063,4A,9903.88.15
04063065,4A,9903.88.15
04063067,4A,9903.88.15
04063069,4A,9903.88.15
04063071,4A,9903.88.15
04063073,4A,9903.88.15
04063075,4A,9903.88.15
04063077,4A,9903.88.15
04063079,4A,9903.88.15
04063081,4A,9903.88.15
04063083,4A,9903.88.15
04063085,4A,9903.88.15
04063087,4A,9903.88.15
04063089,4A,9903.88.15
04063091,4A,9903.88.15
04063095,4A,9903.88.15
04064020,4A,9903.88.15
04064040,4A,9903.88.15
04064044,4A,9903.88.15
04064048,4A,9903.88.15
04064051,4A,9903.88.15
04064052,4A,9903.88.15
04064054,4A,9903.88.15
04064058,4A,9903.88.15
04064070,4A,9903.88.15
04069005,4A,9903.88.15
04069006,4A,9903.88.15
04069008,4A,9903.88.15
04069012,4A,9903.88.15
04069014,4A,9903.88.15
04069016,4A,9903.88.15
04069018,4A,9903.88.15
04069020,4A,9903.88.15
04069025,4A,9903.88.15
04069028,4A,9903.88.15
04069031,4A,9903.88.15
04069032,4A,9903.88.15
04069033,4A,9903.88.15
04069034,4A,9903.88.15
04069036,4A,9903.88.15
04069037,4A,9903.88.15
04069038,4A,9903.88.15
04069039,4A,9903.88.15
04069041,4A,9903.88.15
04069042,4A,9903.88.15
04069043,4A,9903.88.15
04069044,4A,9903.88.15
04069046,4A,9903.88.15
04069048,4A,9903.88.15
04069049,4A,9903.88.15
04069051,4A,9903.88.15
04069052,4A,9903.88.15
04069054,4A,9903.88.15
04069056,4A,9903.88.15
