hts8,ch99_code,category
81052030,9903.01.13,energy_ca
81052060,9903.01.13,energy_ca
81052090,9903.01.13,energy_ca
81053000,9903.01.13,energy_ca
81059000,9903.01.13,energy_ca
81061000,9903.01.13,energy_ca
81069000,9903.01.13,energy_ca
81082000,9903.01.13,energy_ca
81083000,9903.01.13,energy_ca
81089030,9903.01.13,energy_ca
81089060,9903.01.13,energy_ca
81101000,9903.01.13,energy_ca
81102000,9903.01.13,energy_ca
81109000,9903.01.13,energy_ca
81110030,9903.01.13,energy_ca
81110047,9903.01.13,energy_ca
81110049,9903.01.13,energy_ca
81110060,9903.01.13,energy_ca
81121200,9903.01.13,energy_ca
81121300,9903.01.13,energy_ca
81121900,9903.01.13,energy_ca
81122100,9903.01.13,energy_ca
81122200,9903.01.13,energy_ca
81122900,9903.01.13,energy_ca
81123100,9903.01.13,energy_ca
81123900,9903.01.13,energy_ca
81129207,9903.01.13,energy_ca
81129210,9903.01.13,energy_ca
81129230,9903.01.13,energy_ca
81129240,9903.01.13,energy_ca
81129260,9903.01.13,energy_ca
81129265,9903.01.13,energy_ca
81129270,9903.01.13,energy_ca
81129910,9903.01.13,energy_ca
81129920,9903.01.13,energy_ca
85051100,9903.01.13,energy_ca
85451100,9903.01.13,energy_ca
85452000,9903.01.13,energy_ca
85459040,9903.01.13,energy_ca
