hts8,category,country_group,ch99_code
29182330,pharma,eu,9903.02.77
29182350,pharma,eu,9903.02.77
29182920,pharma,eu,9903.02.77
29182922,pharma,eu,9903.02.77
29182965,pharma,eu,9903.02.77
29182975,pharma,eu,9903.02.77
29183010,pharma,eu,9903.02.77
29183015,pharma,eu,9903.02.77
29183025,pharma,eu,9903.02.77
29183030,pharma,eu,9903.02.77
29183070,pharma,eu,9903.02.77
29183090,pharma,eu,9903.02.77
29189905,pharma,eu,9903.02.77
29189930,pharma,eu,9903.02.77
29189943,pharma,eu,9903.02.77
29189947,pharma,eu,9903.02.77
29189950,pharma,eu,9903.02.77
29191000,pharma,eu,9903.02.77
29199030,pharma,eu,9903.02.77
29199050,pharma,eu,9903.02.77
29201940,pharma,eu,9903.02.77
29201950,pharma,eu,9903.02.77
29202100,pharma,eu,9903.02.77
29202200,pharma,eu,9903.02.77
29202300,pharma,eu,9903.02.77
29202400,pharma,eu,9903.02.77
29202900,pharma,eu,9903.02.77
29203000,pharma,eu,9903.02.77
29209020,pharma,eu,9903.02.77
29209051,pharma,eu,9903.02.77
29211100,pharma,eu,9903.02.77
29211400,pharma,eu,9903.02.77
29211911,pharma,eu,9903.02.77
29211961,pharma,eu,9903.02.77
29212900,pharma,eu,9903.02.77
29213010,pharma,eu,9903.02.77
29213030,pharma,eu,9903.02.77
29213050,pharma,eu,9903.02.77
29214110,pharma,eu,9903.02.77
29214120,pharma,eu,9903.02.77
29214265,pharma,eu,9903.02.77
29214290,pharma,eu,9903.02.77
29214340,pharma,eu,9903.02.77
29214560,pharma,eu,9903.02.77
29214590,pharma,eu,9903.02.77
29214600,pharma,eu,9903.02.77
29214938,pharma,eu,9903.02.77
29214943,pharma,eu,9903.02.77
29214945,pharma,eu,9903.02.77
29214950,pharma,eu,9903.02.77
29215940,pharma,eu,9903.02.77
29215980,pharma,eu,9903.02.77
29221100,pharma,eu,9903.02.77
29221200,pharma,eu,9903.02.77
29221400,pharma,eu,9903.02.77
29221500,pharma,eu,9903.02.77
29221600,pharma,eu,9903.02.77
29221700,pharma,eu,9903.02.77
29221800,pharma,eu,9903.02.77
29221909,pharma,eu,9903.02.77
29221920,pharma,eu,9903.02.77
29221933,pharma,eu,9903.02.77
29221960,pharma,eu,9903.02.77
29221970,pharma,eu,9903.02.77
29221990,pharma,eu,9903.02.77
29221996,pharma,eu,9903.02.77
29222110,pharma,eu,9903.02.77
29222125,pharma,eu,9903.02.77
29222140,pharma,eu,9903.02.77
29222150,pharma,eu,9903.02.77
29222903,pharma,eu,9903.02.77
29222906,pharma,eu,9903.02.77
29222908,pharma,eu,9903.02.77
29222910,pharma,eu,9903.02.77
29222913,pharma,eu,9903.02.77
29222915,pharma,eu,9903.02.77
29222920,pharma,eu,9903.02.77
29222926,pharma,eu,9903.02.77
29222927,pharma,eu,9903.02.77
29222929,pharma,eu,9903.02.77
29222961,pharma,eu,9903.02.77
29222981,pharma,eu,9903.02.77
29223100,pharma,eu,9903.02.77
29223905,pharma,eu,9903.02.77
29223910,pharma,eu,9903.02.77
29223914,pharma,eu,9903.02.77
29223917,pharma,eu,9903.02.77
29223925,pharma,eu,9903.02.77
29223945,pharma,eu,9903.02.77
29223950,pharma,eu,9903.02.77
29224100,pharma,eu,9903.02.77
29224210,pharma,eu,9903.02.77
29224250,pharma,eu,9903.02.77
29224310,pharma,eu,9903.02.77
29224350,pharma,eu,9903.02.77
29224400,pharma,eu,9903.02.77
29224905,pharma,eu,9903.02.77
29224910,pharma,eu,9903.02.77
29224926,pharma,eu,9903.02.77
29224930,pharma,eu,9903.02.77
29224937,pharma,eu,9903.02.77
29224943,pharma,eu,9903.02.77
29224949,pharma,eu,9903.02.77
29224960,pharma,eu,9903.02.77
29224980,pharma,eu,9903.02.77
29225007,pharma,eu,9903.02.77
29225010,pharma,eu,9903.02.77
29225011,pharma,eu,9903.02.77
29225013,pharma,eu,9903.02.77
29225014,pharma,eu,9903.02.77
29225017,pharma,eu,9903.02.77
29225019,pharma,eu,9903.02.77
29225025,pharma,eu,9903.02.77
29225035,pharma,eu,9903.02.77
29225040,pharma,eu,9903.02.77
29225050,pharma,eu,9903.02.77
29231000,pharma,eu,9903.02.77
29232010,pharma,eu,9903.02.77
29232020,pharma,eu,9903.02.77
29233000,pharma,eu,9903.02.77
29234000,pharma,eu,9903.02.77
29239001,pharma,eu,9903.02.77
29241100,pharma,eu,9903.02.77
29241200,pharma,eu,9903.02.77
29241911,pharma,eu,9903.02.77
29241980,pharma,eu,9903.02.77
29242116,pharma,eu,9903.02.77
29242120,pharma,eu,9903.02.77
29242145,pharma,eu,9903.02.77
29242150,pharma,eu,9903.02.77
29242370,pharma,eu,9903.02.77
29242375,pharma,eu,9903.02.77
29242400,pharma,eu,9903.02.77
29242500,pharma,eu,9903.02.77
29242901,pharma,eu,9903.02.77
29242903,pharma,eu,9903.02.77
29242905,pharma,eu,9903.02.77
29242910,pharma,eu,9903.02.77
29242923,pharma,eu,9903.02.77
29242926,pharma,eu,9903.02.77
29242928,pharma,eu,9903.02.77
29242933,pharma,eu,9903.02.77
29242957,pharma,eu,9903.02.77
29242962,pharma,eu,9903.02.77
29242965,pharma,eu,9903.02.77
29242971,pharma,eu,9903.02.77
29242977,pharma,eu,9903.02.77
29242980,pharma,eu,9903.02.77
29242995,pharma,eu,9903.02.77
29251200,pharma,eu,9903.02.77
29251942,pharma,eu,9903.02.77
29251991,pharma,eu,9903.02.77
29252100,pharma,eu,9903.02.77
29252910,pharma,eu,9903.02.77
29252918,pharma,eu,9903.02.77
29252920,pharma,eu,9903.02.77
29252960,pharma,eu,9903.02.77
29252970,pharma,eu,9903.02.77
29252990,pharma,eu,9903.02.77
29263010,pharma,eu,9903.02.77
29264000,pharma,eu,9903.02.77
29269014,pharma,eu,9903.02.77
29269043,pharma,eu,9903.02.77
29269048,pharma,eu,9903.02.77
29269050,pharma,eu,9903.02.77
29270040,pharma,eu,9903.02.77
29270050,pharma,eu,9903.02.77
29280010,pharma,eu,9903.02.77
29280015,pharma,eu,9903.02.77
29280025,pharma,eu,9903.02.77
29280030,pharma,eu,9903.02.77
29280050,pharma,eu,9903.02.77
29299005,pharma,eu,9903.02.77
29299015,pharma,eu,9903.02.77
29299020,pharma,eu,9903.02.77
29299050,pharma,eu,9903.02.77
29301001,pharma,eu,9903.02.77
29302020,pharma,eu,9903.02.77
29302090,pharma,eu,9903.02.77
29303060,pharma,eu,9903.02.77
29304000,pharma,eu,9903.02.77
29306000,pharma,eu,9903.02.77
29307000,pharma,eu,9903.02.77
29309029,pharma,eu,9903.02.77
29309049,pharma,eu,9903.02.77
29309092,pharma,eu,9903.02.77
29314100,pharma,eu,9903.02.77
29314200,pharma,eu,9903.02.77
29314300,pharma,eu,9903.02.77
29314400,pharma,eu,9903.02.77
29314500,pharma,eu,9903.02.77
29314600,pharma,eu,9903.02.77
29314700,pharma,eu,9903.02.77
29314800,pharma,eu,9903.02.77
29314900,pharma,eu,9903.02.77
29315100,pharma,eu,9903.02.77
29315200,pharma,eu,9903.02.77
29315300,pharma,eu,9903.02.77
29315400,pharma,eu,9903.02.77
29315900,pharma,eu,9903.02.77
29319022,pharma,eu,9903.02.77
29319030,pharma,eu,9903.02.77
29319060,pharma,eu,9903.02.77
29319090,pharma,eu,9903.02.77
29321100,pharma,eu,9903.02.77
29321400,pharma,eu,9903.02.77
29321910,pharma,eu,9903.02.77
29321951,pharma,eu,9903.02.77
29322005,pharma,eu,9903.02.77
29322020,pharma,eu,9903.02.77
29322025,pharma,eu,9903.02.77
29322030,pharma,eu,9903.02.77
29322045,pharma,eu,9903.02.77
29322050,pharma,eu,9903.02.77
29329500,pharma,eu,9903.02.77
29329904,pharma,eu,9903.02.77
29329908,pharma,eu,9903.02.77
29329921,pharma,eu,9903.02.77
29329932,pharma,eu,9903.02.77
29329935,pharma,eu,9903.02.77
29329939,pharma,eu,9903.02.77
29329955,pharma,eu,9903.02.77
29329961,pharma,eu,9903.02.77
29329970,pharma,eu,9903.02.77
29329990,pharma,eu,9903.02.77
29331100,pharma,eu,9903.02.77
29331908,pharma,eu,9903.02.77
29331935,pharma,eu,9903.02.77
29331937,pharma,eu,9903.02.77
29331943,pharma,eu,9903.02.77
29331945,pharma,eu,9903.02.77
29331990,pharma,eu,9903.02.77
29332100,pharma,eu,9903.02.77
29332905,pharma,eu,9903.02.77
29332910,pharma,eu,9903.02.77
29332920,pharma,eu,9903.02.77
29332935,pharma,eu,9903.02.77
29332943,pharma,eu,9903.02.77
29332945,pharma,eu,9903.02.77
29332960,pharma,eu,9903.02.77
29332990,pharma,eu,9903.02.77
29333100,pharma,eu,9903.02.77
29333301,pharma,eu,9903.02.77
29333400,pharma,eu,9903.02.77
29333500,pharma,eu,9903.02.77
29333600,pharma,eu,9903.02.77
29333700,pharma,eu,9903.02.77
29333908,pharma,eu,9903.02.77
29333910,pharma,eu,9903.02.77
29333920,pharma,eu,9903.02.77
29333921,pharma,eu,9903.02.77
29333923,pharma,eu,9903.02.77
29333925,pharma,eu,9903.02.77
29333927,pharma,eu,9903.02.77
29333931,pharma,eu,9903.02.77
29333941,pharma,eu,9903.02.77
29333961,pharma,eu,9903.02.77
29333992,pharma,eu,9903.02.77
29334100,pharma,eu,9903.02.77
29334920,pharma,eu,9903.02.77
29334926,pharma,eu,9903.02.77
29334960,pharma,eu,9903.02.77
29334970,pharma,eu,9903.02.77
29335300,pharma,eu,9903.02.77
29335400,pharma,eu,9903.02.77
29335500,pharma,eu,9903.02.77
29335910,pharma,eu,9903.02.77
29335915,pharma,eu,9903.02.77
29335918,pharma,eu,9903.02.77
29335921,pharma,eu,9903.02.77
29335922,pharma,eu,9903.02.77
29335936,pharma,eu,9903.02.77
29335946,pharma,eu,9903.02.77
29335953,pharma,eu,9903.02.77
29335959,pharma,eu,9903.02.77
29335970,pharma,eu,9903.02.77
29335980,pharma,eu,9903.02.77
29335985,pharma,eu,9903.02.77
29335995,pharma,eu,9903.02.77
29336950,pharma,eu,9903.02.77
29336960,pharma,eu,9903.02.77
29337200,pharma,eu,9903.02.77
29337904,pharma,eu,9903.02.77
