date,label,gtap_code,etr,total_imports,etr_tpc
2025-04-17,Liberation Day,cmt,0.018487665638348375,12558535405,0.06872775181167397
2025-04-17,Liberation Day,coa,0.07001838527100555,360772490,0.012119814207563334
2025-04-17,Liberation Day,ctl,0.027973767492710785,3875491461,0.027889018773887518
2025-04-17,Liberation Day,eeq,0.23176406414921072,230169615281,0.4573282536417259
2025-04-17,Liberation Day,ele,0.1625791684544161,539596009664,0.18457194384197506
2025-04-17,Liberation Day,ely,0.25,2289715638,0
2025-04-17,Liberation Day,fmp,0.2692054834671532,77477244720,0.3951187690493906
2025-04-17,Liberation Day,frs,0.14126731147802335,735788633,0.24154682246927753
2025-04-17,Liberation Day,fsh,0.1656481643180485,3348264984,0.17840977925836238
2025-04-17,Liberation Day,gas,0.08389671324884655,5897633832,9.47846654987108e-5
2025-04-17,Liberation Day,gro,0.1575633310329975,885221468,0.15939166135304347
2025-04-17,Liberation Day,i_s,0.2635193588729994,43045869872,0.2475615717259924
2025-04-17,Liberation Day,lea,0.20827676730848604,40210655857,0.5485182789641233
2025-04-17,Liberation Day,lum,0.17526955401982833,23699786518,0.23750231972639727
2025-04-17,Liberation Day,mil,0.08893210014923923,4120632400,0.08892794404104828
2025-04-17,Liberation Day,mvh,0.1496550515227634,384092071115,0.18578935046279685
2025-04-17,Liberation Day,nfm,0.12097901627545052,76554587400,0.11740549131397682
2025-04-17,Liberation Day,nmm,0.18014462885278462,30318646021,0.4060142319163862
2025-04-17,Liberation Day,oap,0.15915209426900048,2667614833,0.25315762081494836
2025-04-17,Liberation Day,ocr,0.026404711387366546,13478511330,0.13024734511224523
2025-04-17,Liberation Day,ofd,0.1020024864842695,89560006364,0.18108859772722774
2025-04-17,Liberation Day,oil,0.060427150778349016,155382135148,0.010123776791608837
2025-04-17,Liberation Day,ome,0.1432581565587328,277181275351,0.2843692738848678
2025-04-17,Liberation Day,omf,0.1845716870644539,226522748337,0.44964199104404584
2025-04-17,Liberation Day,omt,0.09620885431539798,4046838608,0.11373999790081227
2025-04-17,Liberation Day,osd,0.12776383314489956,1201188549,0.14954726729190207
2025-04-17,Liberation Day,otn,0.09718013275067422,76644674436,0.22038113844383023
2025-04-17,Liberation Day,oxt,0.10767176001710538,6713013319,0.11728294683288547
2025-04-17,Liberation Day,p_c,0.03067143935304702,77503577410,0.015084012241821359
2025-04-17,Liberation Day,pcr,0.11481889190365858,1466325390,0.1595822412456317
